,Unnamed: 0,SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILTY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,YEAR,LOCATION,ENROLMENT,PERCENT_ESL,PERCENT_SPECIAL_NEEDS,PERCENT_FRENCH_IMM,AVERAGE_EXAM_MARK,PERCENT_EXAMS_FAILED,PERCENT_GRAD,PERCENT_DELAYED,OVERALL,type_Public,combined_25_5,combined_50_10,combined_5_1,combined_10_2,combined_<5_1,prop_high_speed,CENSUS_ID,MEDIAN_INCOME,LOG_MEDIAN_INCOME
33,169,2019/2020,3434041,W J Mouat Secondary,34,Abbotsford,Public,32355 Mouat Dr,Abbotsford,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.05942223,-122.3278132,2019,Abbotsford,Gr 12 enrolment: 379,4.6,10.7,26.1,66.3,12.2,96.3,11.7,4.9,1,0.0,1.0,0.0,0.0,0.0,1.0,5909052,72511,11.191493553471755
34,174,2019/2020,3434052,Rick Hansen Secondary,34,Abbotsford,Public,31150 Blueridge Dr,Abbotsford,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.06704839,-122.3617768,2019,Abbotsford,Gr 12 enrolment: 163,8.7,11.5,0.0,65.8,5.8,98.6,11.7,5.8,1,0.0013966480446927375,0.9986033519553073,0.0,0.0,0.0,1.0,5909052,72511,11.191493553471755
35,179,2019/2020,3434054,Robert Bateman Secondary,34,Abbotsford,Public,35045 Exbury Ave,Abbotsford,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.06925753,-122.2543205,2019,Abbotsford,Gr 12 enrolment: 269,0.3,14.6,0.0,70.6,4.4,98.6,13.1,7.3,1,0.09126466753585398,0.8852672750977836,0.01955671447196871,0.0,0.0,0.9765319426336375,5909052,72511,11.191493553471755
36,184,2019/2020,3496069,Abbotsford Christian School,34,Abbotsford,Independent,35011 Old Clayburn Rd,Abbotsford,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.06335097,-122.2540526,2019,Abbotsford,Gr 12 enrolment: 84,0.0,11.2,0.0,72.1,1.4,100.0,0.0,8.2,0,0.12956810631229235,0.8471760797342193,0.021040974529346623,0.0,0.0,0.9767441860465116,5909052,72511,11.191493553471755
37,189,2019/2020,3496425,Dasmesh Punjabi School,34,Abbotsford,Independent,5930 Riverside St,Abbotsford,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.11038921,-122.2929778,2019,Abbotsford,Gr 12 enrolment: 30,0.0,1.2,0.0,75.6,0.0,100.0,2.3,8.6,0,0.20417633410672853,0.7587006960556845,0.0,0.0,0.0,0.962877030162413,5909052,72511,11.191493553471755
38,194,2019/2020,3496595,St John Brebeuf,34,Abbotsford,Independent,2747 Townline Rd,Abbotsford,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.05180339,-122.3622852,2019,Abbotsford,Gr 12 enrolment: 73,18.3,10.2,0.0,68.5,14.5,97.0,12.6,4.7,0,0.002127659574468085,0.9968085106382979,0.0,0.0,0.0,0.9989361702127659,5909052,72511,11.191493553471755
39,199,2019/2020,3535019,Langley Secondary,35,Langley,Public,21405 56 Ave,Langley,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.10523838,-122.6308214,2019,Langley,Gr 12 enrolment: 250,4.6,15.4,0.0,62.8,19.8,96.6,20.2,2.8,1,0.0,1.0,0.0,0.0,0.0,1.0,5915001,90594,11.414143264672525
40,204,2019/2020,3535020,Aldergrove Community Secondary,35,Langley,Public,26850 29 Ave,Aldergrove,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.05454782,-122.4805906,2019,Aldergrove,Gr 12 enrolment: 158,1.5,15.8,0.0,60.6,17.7,95.2,11.5,4.1,1,0.003863134657836645,0.9933774834437086,0.002207505518763797,0.0,0.0005518763796909492,0.9972406181015452,5915001,90594,11.414143264672525
41,209,2019/2020,3535029,Langley Fine Arts School,35,Langley,Public,9096 Trattle St,Fort Langley,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.16827432,-122.5875755,2019,Fort Langley,Gr 12 enrolment: 112,1.3,6.8,0.0,73.7,7.3,99.1,3.8,6.9,1,0.0,0.9790209790209791,0.01048951048951049,0.0,0.0017482517482517483,0.9790209790209791,5915001,90594,11.414143264672525
42,214,2019/2020,3535034,D W Poppy Secondary,35,Langley,Public,23752 52 Ave,Langley,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.09609577,-122.5658698,2019,Langley,Gr 12 enrolment: 204,0.0,18.8,0.0,66.5,10.7,95.9,12.0,5.1,1,0.0,1.0,0.0,0.0,0.0,1.0,5915001,90594,11.414143264672525
