,SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILTY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,SCHOOL_TYPE,YEAR,LOCATION,ENROLMENT,PERCENT_ESL,PERCENT_SPECIAL_NEEDS,PERCENT_FRENCH_IMM,AVERAGE_EXAM_MARK,PERCENT_EXAMS_FAILED,PERCENT_GRAD,PERCENT_DELAYED,OVERALL
30,2019/2020,618005,Golden Secondary,6,Rocky Mountain,Public,PO Box 1350,Golden,Standard School                         ,SECONDARY,YES,YES,NO,NO,51.2965518,-116.9496193,Public,2015,Golden,Gr 12 enrolment: 51,0.0,12.9,21.3,65.6,12.2,93.7,17.1,5.0
31,2019/2020,618005,Golden Secondary,6,Rocky Mountain,Public,PO Box 1350,Golden,Standard School                         ,SECONDARY,YES,YES,NO,NO,51.2965518,-116.9496193,Public,2016,Golden,Gr 12 enrolment: 51,0.0,12.9,21.3,64.4,11.0,98.0,2.5,5.9
32,2019/2020,618005,Golden Secondary,6,Rocky Mountain,Public,PO Box 1350,Golden,Standard School                         ,SECONDARY,YES,YES,NO,NO,51.2965518,-116.9496193,Public,2017,Golden,Gr 12 enrolment: 51,0.0,12.9,21.3,68.1,5.3,100.0,15.4,6.6
33,2019/2020,618005,Golden Secondary,6,Rocky Mountain,Public,PO Box 1350,Golden,Standard School                         ,SECONDARY,YES,YES,NO,NO,51.2965518,-116.9496193,Public,2018,Golden,Gr 12 enrolment: 51,0.0,12.9,21.3,64.6,14.7,97.6,7.7,4.1
34,2019/2020,618005,Golden Secondary,6,Rocky Mountain,Public,PO Box 1350,Golden,Standard School                         ,SECONDARY,YES,YES,NO,NO,51.2965518,-116.9496193,Public,2019,Golden,Gr 12 enrolment: 51,0.0,12.9,21.3,69.0,4.4,97.8,19.5,5.7
35,2019/2020,807013,L V Rogers Secondary,8,Kootenay Lake,Public,1002 Cottonwood St,Nelson,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.50153609,-117.2723473,Public,2015,Nelson,Gr 12 enrolment: 156,0.1,9.9,16.3,70.1,7.3,94.5,17.2,6.3
36,2019/2020,807013,L V Rogers Secondary,8,Kootenay Lake,Public,1002 Cottonwood St,Nelson,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.50153609,-117.2723473,Public,2016,Nelson,Gr 12 enrolment: 156,0.1,9.9,16.3,71.6,5.8,92.1,18.1,6.6
37,2019/2020,807013,L V Rogers Secondary,8,Kootenay Lake,Public,1002 Cottonwood St,Nelson,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.50153609,-117.2723473,Public,2017,Nelson,Gr 12 enrolment: 156,0.1,9.9,16.3,72.5,5.1,92.8,19.9,6.6
38,2019/2020,807013,L V Rogers Secondary,8,Kootenay Lake,Public,1002 Cottonwood St,Nelson,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.50153609,-117.2723473,Public,2018,Nelson,Gr 12 enrolment: 156,0.1,9.9,16.3,72.6,6.3,96.1,18.4,6.8
39,2019/2020,807013,L V Rogers Secondary,8,Kootenay Lake,Public,1002 Cottonwood St,Nelson,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.50153609,-117.2723473,Public,2019,Nelson,Gr 12 enrolment: 156,0.1,9.9,16.3,69.3,7.0,94.2,13.0,6.3
40,2019/2020,807025,Mount Sentinel Secondary,8,Kootenay Lake,Public,PO Box 99,South Slocan,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.4463804,-117.5373076,Public,2015,South Slocan,Gr 12 enrolment: 41,0.0,9.3,0.0,65.2,13.0,100.0,19.2,4.2
41,2019/2020,807025,Mount Sentinel Secondary,8,Kootenay Lake,Public,PO Box 99,South Slocan,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.4463804,-117.5373076,Public,2016,South Slocan,Gr 12 enrolment: 41,0.0,9.3,0.0,65.3,9.8,96.1,5.4,5.0
42,2019/2020,807025,Mount Sentinel Secondary,8,Kootenay Lake,Public,PO Box 99,South Slocan,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.4463804,-117.5373076,Public,2017,South Slocan,Gr 12 enrolment: 41,0.0,9.3,0.0,61.1,18.0,93.9,19.1,2.6
43,2019/2020,807025,Mount Sentinel Secondary,8,Kootenay Lake,Public,PO Box 99,South Slocan,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.4463804,-117.5373076,Public,2018,South Slocan,Gr 12 enrolment: 41,0.0,9.3,0.0,72.7,1.9,100.0,9.8,7.4
44,2019/2020,807025,Mount Sentinel Secondary,8,Kootenay Lake,Public,PO Box 99,South Slocan,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.4463804,-117.5373076,Public,2019,South Slocan,Gr 12 enrolment: 41,0.0,9.3,0.0,64.8,8.6,100.0,11.7,4.2
45,2019/2020,886007,Prince Charles Secondary,8,Kootenay Lake,Public,223 18th Ave S,Creston,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.09443987,-116.5051821,Public,2015,Creston,Gr 12 enrolment: 96,0.4,12.9,0.0,65.8,13.8,91.2,36.5,3.9
46,2019/2020,886007,Prince Charles Secondary,8,Kootenay Lake,Public,223 18th Ave S,Creston,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.09443987,-116.5051821,Public,2016,Creston,Gr 12 enrolment: 96,0.4,12.9,0.0,68.4,9.5,91.7,30.7,5.1
47,2019/2020,886007,Prince Charles Secondary,8,Kootenay Lake,Public,223 18th Ave S,Creston,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.09443987,-116.5051821,Public,2017,Creston,Gr 12 enrolment: 96,0.4,12.9,0.0,63.6,13.5,98.8,18.7,4.7
48,2019/2020,886007,Prince Charles Secondary,8,Kootenay Lake,Public,223 18th Ave S,Creston,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.09443987,-116.5051821,Public,2018,Creston,Gr 12 enrolment: 96,0.4,12.9,0.0,67.4,9.1,97.8,25.7,4.5
49,2019/2020,886007,Prince Charles Secondary,8,Kootenay Lake,Public,223 18th Ave S,Creston,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.09443987,-116.5051821,Public,2019,Creston,Gr 12 enrolment: 96,0.4,12.9,0.0,68.4,4.5,97.7,2.5,6.6
50,2019/2020,1919003,Revelstoke Secondary,19,Revelstoke,Public,Bag 5100,Revelstoke,Standard School                         ,SECONDARY,YES,NO,NO,NO,50.9910745,-118.1988367,Public,2015,Revelstoke,Gr 12 enrolment: 88,0.8,20.3,0.0,73.4,6.4,98.6,5.4,7.7
51,2019/2020,1919003,Revelstoke Secondary,19,Revelstoke,Public,Bag 5100,Revelstoke,Standard School                         ,SECONDARY,YES,NO,NO,NO,50.9910745,-118.1988367,Public,2016,Revelstoke,Gr 12 enrolment: 88,0.8,20.3,0.0,71.5,4.0,97.2,3.1,7.4
52,2019/2020,1919003,Revelstoke Secondary,19,Revelstoke,Public,Bag 5100,Revelstoke,Standard School                         ,SECONDARY,YES,NO,NO,NO,50.9910745,-118.1988367,Public,2017,Revelstoke,Gr 12 enrolment: 88,0.8,20.3,0.0,67.1,1.8,100.0,14.2,7.6
53,2019/2020,1919003,Revelstoke Secondary,19,Revelstoke,Public,Bag 5100,Revelstoke,Standard School                         ,SECONDARY,YES,NO,NO,NO,50.9910745,-118.1988367,Public,2018,Revelstoke,Gr 12 enrolment: 88,0.8,20.3,0.0,74.2,0.0,100.0,13.5,8.0
54,2019/2020,1919003,Revelstoke Secondary,19,Revelstoke,Public,Bag 5100,Revelstoke,Standard School                         ,SECONDARY,YES,NO,NO,NO,50.9910745,-118.1988367,Public,2019,Revelstoke,Gr 12 enrolment: 88,0.8,20.3,0.0,72.4,0.0,100.0,14.3,7.7
55,2019/2020,2009010,Stanley Humphries Secondary,20,Kootenay-Columbia,Public,720 7 Ave,Castlegar,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.3200625,-117.661008,Public,2015,Castlegar,Gr 12 enrolment: 110,0.0,14.3,19.0,65.8,11.8,97.9,11.1,5.4
56,2019/2020,2009010,Stanley Humphries Secondary,20,Kootenay-Columbia,Public,720 7 Ave,Castlegar,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.3200625,-117.661008,Public,2016,Castlegar,Gr 12 enrolment: 110,0.0,14.3,19.0,66.8,11.6,99.1,15.2,6.0
57,2019/2020,2009010,Stanley Humphries Secondary,20,Kootenay-Columbia,Public,720 7 Ave,Castlegar,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.3200625,-117.661008,Public,2017,Castlegar,Gr 12 enrolment: 110,0.0,14.3,19.0,68.6,3.8,96.3,13.5,7.1
58,2019/2020,2009010,Stanley Humphries Secondary,20,Kootenay-Columbia,Public,720 7 Ave,Castlegar,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.3200625,-117.661008,Public,2018,Castlegar,Gr 12 enrolment: 110,0.0,14.3,19.0,68.2,11.3,94.1,12.2,5.2
