,SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME_x,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILTY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,SCHOOL_NAME_y,SCHOOL_TYPE,YEAR,LOCATION,ENROLMENT,PERCENT_ESL,PERCENT_SPECIAL_NEEDS,PERCENT_FRENCH_IMM,AVERAGE_EXAM_MARK,PERCENT_EXAMS_FAILED,PERCENT_GRAD,PERCENT_DELAYED,OVERALL
182,2019/2020,3535056,Langley Fundamental Middle/Secondary Sch,35,Langley,Public,21250 42 Ave,Langley,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.0779818,-122.6348359,Langley,Public,2019,Langley,250,4.6,15.4,0.0,62.8,19.8,96.6,20.2,2.8
183,2019/2020,3535056,Langley Fundamental Middle/Secondary Sch,35,Langley,Public,21250 42 Ave,Langley,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.0779818,-122.6348359,Langley Fundamental,Public,2019,Langley,105,0.1,11.5,0.0,72.6,4.8,100.0,3.9,7.8
188,2019/2020,3535064,Langley Equestrian Academy,35,Langley,Public,20902 37A Ave,Langley,Standard School                         ,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.06985045,-122.6443605,Langley,Public,2019,Langley,250,4.6,15.4,0.0,62.8,19.8,96.6,20.2,2.8
192,2019/2020,3535020,Aldergrove Community Secondary,35,Langley,Public,26850 29 Ave,Aldergrove,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.05454782,-122.4805906,Aldergrove,Public,2019,Aldergrove,158,1.5,15.8,0.0,60.6,17.7,95.2,11.5,4.1
193,2019/2020,3535029,Langley Fine Arts School,35,Langley,Public,9096 Trattle St,Fort Langley,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.16827432,-122.5875755,Langley Fine Arts,Public,2019,Fort Langley,112,1.3,6.8,0.0,73.7,7.3,99.1,3.8,6.9
194,2019/2020,3596289,Credo Christian Schools,35,Langley,Independent,21846 52 Ave,Langley,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.0957102,-122.6171619,Credo Christian,Independent,2019,Langley,61,0.0,6.6,0.0,68.6,3.6,98.3,3.2,7.0
197,2019/2020,3596311,Langley Christian,35,Langley,Independent,22930 48 Ave,Langley,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.08856625,-122.5893988,Langley Christian,Independent,2019,Langley,76,0.0,7.2,0.0,70.8,2.7,100.0,4.2,7.1
221,2019/2020,3636022,Queen Elizabeth Secondary,36,Surrey,Public,9457 King George Blvd,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.17462301,-122.8473212,Queen Elizabeth,Public,2019,Surrey,288,6.1,10.2,0.0,63.9,18.9,91.9,23.9,2.6
237,2019/2020,3636028,North Surrey Secondary,36,Surrey,Public,15945 96 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.1783541,-122.7804005,North Surrey,Public,2019,Surrey,299,6.5,11.5,0.0,67.2,8.0,96.6,8.9,5.9
255,2019/2020,3636041,Lord Tweedsmuir Secondary,36,Surrey,Public,6151 180 St,Surrey,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.11497906,-122.7245186,Lord Tweedsmuir,Public,2019,Surrey,395,1.8,14.5,2.8,69.9,3.6,95.2,11.7,6.6
