SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILTY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE
2019/2020,2222006,Lavington Elementary,022,Vernon,Public School,9715 School Rd,Vernon                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,50.23111084,-119.1066412
2019/2020,2222007,W L Seaton Secondary,022,Vernon,Public School,2701 41 Ave,Vernon                        ,Standard School                         ,SECONDARY,YES,YES,NO,NO,50.2729109,-119.2679834
2019/2020,2222009,Harwood Elementary,022,Vernon,Public School,4320 20 St,Vernon                        ,Standard School                         ,ELEMENTARY,YES,YES,YES,NO,50.27721417,-119.2612638
2019/2020,2222010,J W Inglis Elementary,022,Vernon,Public School,PO Box 369,Lumby                         ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,50.25331827,-118.966667
2019/2020,2222012,Silver Star Elementary,022,Vernon,Public School,1401-35 Ave,Vernon                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,50.26689808,-119.2494792
2019/2020,2222013,Okanagan Landing Elementary,022,Vernon,Public School,7322 Grant Rd,Vernon                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,50.2369,-119.344
2019/2020,2222014,B X Elementary,022,Vernon,Public School,5849 Silver Star Rd,Vernon                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,50.28976301,-119.2225069
2019/2020,2222015,Hillview Elementary,022,Vernon,Public School,1822 Francis St,Vernon                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,50.25514199,-119.2377336
2019/2020,2222017,Vernon Secondary,022,Vernon,Public School,2100-15th St,Vernon                        ,Standard School                         ,SECONDARY,YES,NO,NO,NO,50.25761457,-119.2525325
2019/2020,2222019,Mission Hill Elementary,022,Vernon,Public School,1510 36 St,Vernon                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,50.25387726,-119.2826722
2019/2020,2222020,Alexis Park Elementary,022,Vernon,Public School,4205 35 St,Vernon                        ,Standard School                         ,ELEMENTARY,YES,YES,NO,NO,50.2738,-119.279
2019/2020,2222022,Kalamalka Secondary,022,Vernon,Public School,7900 McClounie Rd,Vernon                        ,Standard School                         ,SECONDARY,YES,NO,NO,NO,50.22296705,-119.2488864
2019/2020,2222024,Kidston Elementary,022,Vernon,Public School,12101 Linden Dr,Coldstream                    ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,50.22314384,-119.25863
2019/2020,2222025,Clarence Fulton Secondary,022,Vernon,Public School,2301 Fulton Rd,Vernon                        ,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.2493786,-119.3092733
2019/2020,2222026,Ellison Elementary,022,Vernon,Public School,PO Box 2400,Vernon                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,50.25061832,-119.3145326
2019/2020,2222027,Charles Bloom Elementary Secondary,022,Vernon,Public School,PO Box 220,Lumby                         ,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.24996886,-118.9641854
2019/2020,2296035,Pleasant Valley Christian Academy,022,Vernon,Independent School,1802 45 Ave,Vernon                        ,Standard School                         ,ELEMENTARY JR SECONDARY,NO,NO,NO,NO,50.27723204,-119.2544306
2019/2020,2296078,St James,022,Vernon,Independent School,2700 28 Ave,Vernon                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,50.26174633,-119.2674817
2019/2020,2296261,Vernon Christian School,022,Vernon,Independent School,6920 Pleasant Valley Rd,Vernon                        ,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.31014521,-119.2463799
2019/2020,2296858,Okanagan Waldorf School,022,Vernon,Independent School,730 Whitevale Rd,Lumby                         ,Standard School                         ,ELEMENTARY,NO,NO,NO,NO,50.21931935,-119.0285885
2019/2020,2299077,Open Door Alternate School,022,Vernon,Public School,3303 30 St,Vernon                        ,Alternate Programs                      ,SECONDARY,NO,NO,NO,NO,50.26627003,-119.2703377
2019/2020,2299083,Crossroads Alternate School,022,Vernon,Public School,PO Box 1028,Lumby                         ,Alternate Programs                      ,SECONDARY,NO,NO,NO,NO,50.24867033,-118.9635797
2019/2020,2299151,vLearn.ca,022,Vernon,Public School,1401 15th St,Vernon                        ,Distributed Learning Programs           ,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.25217477,-119.2499542
2019/2020,2299152,Alternative Learning Program,022,Vernon,Public School,1401 15 St,Vernon                        ,Alternate Programs                      ,SECONDARY,YES,NO,NO,NO,50.25217477,-119.2499542
2019/2020,2323000,Adult Education SD#23,023,Central Okanagan,Public School,1825 Richter St,Kelowna                       ,Continuing Education                    ,SECONDARY,NO,NO,NO,NO,49.88120693,-119.4878129
2019/2020,2323005,Central School Programs,023,Central Okanagan,Public School,1825 Richter St,Kelowna                       ,Alternate Programs                      ,SECONDARY,NO,NO,NO,NO,49.88120693,-119.4878129
2019/2020,2323008,Oyama Traditional School,023,Central Okanagan,Public School,15525 Greenhow Rd,Oyama                         ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,50.10833492,-119.3692227
2019/2020,2323014,Raymer Elementary,023,Central Okanagan,Public School,657 Raymer Ave,Kelowna                       ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.8651826,-119.4890325
2019/2020,2323015,Rutland Middle School,023,Central Okanagan,Public School,715 Rutland Rd N,Kelowna                       ,Standard School                         ,MIDDLE SCHOOL,YES,NO,NO,NO,49.8979867,-119.3861629
